Team,Player,Birthplace,Latitude,Longitutde
Orlando Magic,Markelle Fultz,"Prince George's County, Maryland","38°49'48""N","76°51'00""W"
Philadelphia 76ers,Alec Burks,"Grandview, Missouri","38°53'06""N","94°31'21""W"
Atlanta Hawks,Treveon Grahm,"Washington, D.C.","38°54'17""N","77°00'59""W"
Brooklyn Nets,Kevin Durant,"Washington, D.C.","38°54'17""N","77°00'59""W"
Los Angeles Clippers,Patrick Patterson,"Washington, D.C.","38°54'17""N","77°00'59""W"
Los Angeles Lakers,Quinn Cook,"Washington, D.C.","38°54'17""N","77°00'59""W"
New Orleans Pelicans,Frank Jackson,"Washington, D.C.","38°54'17""N","77°00'59""W"
Utah Jazz,Ed Davis,"Washington, D.C.","38°54'17""N","77°00'59""W"
Houston Rockets,Jeff Green,"Cheverly, Maryland","38°55'28""N","76°54'56""W"
Los Angeles Clippers,Rodney McGruder,"Landover, Maryland","38°56'00""N","76°54'00""W"
Atlanta Hawks,Brandon Goodwin,"Norcross, Georgia","38°56'00""N","84°13'00""W"
Denver Nuggets,Michael Porter Jr.,"Columbia, Missouri","38°57'06""N","92°19'43""W"
Boston Celtics,Semi Ojeleye,"Overland Park, Kansas","38°58'56""N","84°40'15""W"
Indiana Pacers,Victor Oladipo,"Silver Spring, Maryland","39°00'09""N","77°01'15""W"
New Orleans Pelicans,Josh Hart,"Silver Spring, Maryland","39°00'09""N","77°01'15""W"
Chicago Bulls,Shaquille Harrison,"Kansas City, Missouri","39°05'59""N","94°34'42""W"
Los Angeles Clippers,Landry Shamet,"Kansas City, Missouri","39°05'59""N","94°34'42""W"
Toronto Raptors,Malcolm Miller,"Laytonsville, Maryland","39°12'41""N","77°08'24""W"
Denver Nuggets,Will Barton,"Baltimore, Maryland","39°17'00""N","76°37'00""W"
Golden State Warriors,Damion Lee,"Baltimore, Maryland","39°17'00""N","76°37'00""W"
New York Knicks,Reggie Bullock,"Baltimore, Maryland","39°17'00""N","76°37'00""W"
San Antonio Spurs,Derrick White,"Parker, Colorado","39°31'10""N","104°45'57""W"
Detroit Pistons,Luke Kennard,"Franklin, Ohio","39°33'41""N","84°18'06""W"
Milwaukee Bucks,Donte Divincenzo,"Newark, Deleware","39°41'01""N","75°44'59""W"
Atlanta Hawks,Jeff Teague,"Indianapolis, Indiana","39°46'07""N","86°09'29""W"
Boston Celtics,Gordon Hayward,"Indianapolis, Indiana","39°46'07""N","86°09'29""W"
Dallas Mavericks,Courtney Lee,"Indianapolis, Indiana","39°46'07""N","86°09'29""W"
Houston Rockets,Eric Gordon,"Indianapolis, Indiana","39°46'07""N","86°09'29""W"
Milwaukee Bucks,George Hill,"Indianapolis, Indiana","39°46'07""N","86°09'29""W"
Portland TrailBlazers,Caleb Swanigan,"Indianapolis, Indiana","39°46'07""N","86°09'29""W"
Sacramento Kings,Kyle Guy,"Indianapolis, Indiana","39°46'07""N","86°09'29""W"
Sacramento Kings,Yogi Ferrell,"Indianapolis, Indiana","39°46'07""N","86°09'29""W"
Miami Heat,Andre Iguodala,"Springfield, Illinois","39°47'58""N","89°39'18""W"
Toronto Raptors,Matt Thomas,"Decatur, Illinois","39°50'29""N","88°57'21""W"
Miami Heat,Derrick Jones Jr.,"Chester, Pennsylvania","39°50'50""N","75°22'22""W"
Toronto Raptors,Rondae Hollis-Jefferson,"Chester, Pennsylvania","39°50'50""N","75°22'22""W"
Atlanta Hawks,Charlie Brown,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Atlanta Hawks,De'Andre Hunter,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Boston Celtics,Brad Wanamaker,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Chicago Bulls,Ryan Arcidiaccono,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Dallas Mavericks,Michael Kidd-Gilchrist,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
